Date,Valeur,Price,Open,High,Low,Vol.,Change %
04/24/2023,TELNET,7.24,7.24,7.24,7.24,0.01K,-0.41%
04/20/2023,TELNET,7.27,7.3,7.3,7.1,2.83K,-0.27%
04/19/2023,TELNET,7.29,7.3,7.3,7.25,1.96K,-0.14%
04/18/2023,TELNET,7.3,7.3,7.44,7.27,7.09K,0.00%
04/17/2023,TELNET,7.3,7.02,7.3,7.02,6.83K,3.55%
04/14/2023,TELNET,7.05,7,7.1,6.91,4.90K,0.71%
04/13/2023,TELNET,7,7.1,7.1,7,0.44K,0.00%
04/12/2023,TELNET,7,7.03,7.1,7,3.30K,-0.43%
04/11/2023,TELNET,7.03,7.05,7.05,7.02,1.06K,0.00%
04/10/2023,TELNET,7.03,7.12,7.12,6.9,0.95K,-0.28%
04/07/2023,TELNET,7.05,7.01,7.06,7,2.66K,-0.14%
04/06/2023,TELNET,7.06,7.05,7.06,7,1.31K,-0.42%
04/05/2023,TELNET,7.09,7.1,7.1,7.05,6.27K,0.00%
04/04/2023,TELNET,7.09,7.08,7.16,7.05,1.58K,-0.98%
04/03/2023,TELNET,7.16,7.15,7.16,7.11,5.64K,0.00%
03/31/2023,TELNET,7.16,7.15,7.16,7.15,0.22K,-0.28%
03/30/2023,TELNET,7.18,7.14,7.18,7.14,1.40K,0.56%
03/29/2023,TELNET,7.14,7.14,7.15,7.08,2.68K,-0.14%
03/28/2023,TELNET,7.15,7.09,7.15,7.09,1.51K,0.00%
03/27/2023,TELNET,7.15,7.08,7.15,7.08,0.03K,0.99%
03/24/2023,TELNET,7.08,7.07,7.09,7.07,4.81K,-0.56%
03/23/2023,TELNET,7.12,7.08,7.12,7.07,0.47K,0.56%
03/22/2023,TELNET,7.08,7.08,7.17,7.07,3.86K,-0.98%
03/21/2023,TELNET,7.15,7.08,7.18,7.08,0.31K,-0.56%
03/17/2023,TELNET,7.19,7.2,7.2,7.1,0.59K,-0.14%
03/16/2023,TELNET,7.2,7.12,7.2,7.12,1.44K,0.00%
03/15/2023,TELNET,7.2,7.12,7.2,7.12,0.31K,0.00%
03/13/2023,TELNET,7.2,7.2,7.2,7.11,0.09K,0.84%
03/10/2023,TELNET,7.14,7.16,7.16,7.11,2.40K,-0.14%
03/09/2023,TELNET,7.15,7.12,7.15,7.11,16.22K,-0.14%
03/08/2023,TELNET,7.16,7.16,7.16,7.12,0.52K,0.56%
03/07/2023,TELNET,7.12,7.14,7.14,7.12,0.78K,-0.56%
03/06/2023,TELNET,7.16,7.14,7.17,7.14,0.53K,-0.28%
03/03/2023,TELNET,7.18,7.15,7.18,7.14,0.98K,0.00%
03/02/2023,TELNET,7.18,7.18,7.18,7.18,0.28K,0.00%
03/01/2023,TELNET,7.18,7.19,7.19,7.18,0.00K,0.00%
02/28/2023,TELNET,7.18,7.12,7.18,7.11,0.98K,0.56%
