Date,Valeur,Price,Open,High,Low,Vol.,Change %
11/09/2022,ICF,90,90,91.2,89.32,0.22K,0.00%
11/08/2022,ICF,90,90,91.49,90,0.51K,0.00%
11/07/2022,ICF,90,91.44,91.7,90,0.49K,-1.37%
11/04/2022,ICF,91.25,91.28,91.29,89.5,0.60K,0.62%
11/03/2022,ICF,90.69,90.8,90.8,90.69,0.12K,0.21%
11/02/2022,ICF,90.5,91.08,91.08,89.6,0.71K,-0.76%
11/01/2022,ICF,91.19,91.84,91.84,89.6,0.73K,0.21%
10/31/2022,ICF,91,91.37,91.37,89.5,0.80K,0.00%
10/28/2022,ICF,91,89.99,91,89.99,0.15K,0.66%
10/27/2022,ICF,90.4,90.87,90.87,89.5,0.44K,-0.53%
10/26/2022,ICF,90.88,91.05,91.05,89.25,0.35K,-0.56%
10/25/2022,ICF,91.39,91.45,91.45,89.22,1.51K,0.48%
10/24/2022,ICF,90.95,90.98,91,90,0.31K,-0.04%
10/21/2022,ICF,90.99,91,91,89.19,0.08K,-0.01%
10/20/2022,ICF,91,92,92,90,1.60K,-0.51%
10/19/2022,ICF,91.47,91.49,92.35,90,1.68K,1.07%
10/18/2022,ICF,90.5,90.5,91.45,90.5,0.22K,0.00%
10/17/2022,ICF,90.5,91.5,91.5,90.36,0.35K,-0.32%
10/14/2022,ICF,90.79,90.35,91.49,90.3,0.25K,-0.45%
10/13/2022,ICF,91.2,90.35,91.2,90.25,0.32K,-0.33%
10/12/2022,ICF,91.5,91.79,91.79,90.51,0.37K,0.00%
10/11/2022,ICF,91.5,91.79,92,90.71,0.89K,-0.54%
10/10/2022,ICF,92,92.5,92.8,91.58,0.04K,0.46%
10/07/2022,ICF,91.58,90.9,91.58,90.26,0.29K,-1.53%
10/06/2022,ICF,93,93.88,93.88,90.21,0.62K,-1.01%
10/05/2022,ICF,93.95,94,94,92,0.14K,1.13%
10/04/2022,ICF,92.9,93.4,93.4,92,0.55K,0.00%
10/03/2022,ICF,92.9,94.06,94.5,92.9,0.49K,-2.21%
09/30/2022,ICF,95,95,95.5,94.12,2.47K,0.16%
09/29/2022,ICF,94.85,94.2,94.85,94.2,0.34K,-0.05%
09/28/2022,ICF,94.9,94.79,94.9,94.21,1.63K,0.41%
09/27/2022,ICF,94.51,94.5,94.79,94.5,0.16K,-0.11%
09/26/2022,ICF,94.61,95.5,95.5,94.6,1.06K,-1.75%
09/23/2022,ICF,96.3,95,96.3,94.8,0.61K,1.05%
09/22/2022,ICF,95.3,94.6,96.9,94.6,0.35K,0.00%
09/21/2022,ICF,95.3,94.65,95.3,94.61,1.16K,0.11%
09/20/2022,ICF,95.2,94.64,95.3,94.63,1.41K,0.60%
09/19/2022,ICF,94.63,95,95.28,94.62,0.31K,-0.69%
09/16/2022,ICF,95.29,95.01,95.29,94.61,0.90K,0.29%
09/15/2022,ICF,95.01,95.52,95.52,95.01,1.26K,-0.53%
09/14/2022,ICF,95.52,96,96,95.52,0.89K,-0.50%
09/13/2022,ICF,96,96.02,96.3,96,2.16K,-0.30%
09/12/2022,ICF,96.29,95.66,96.4,95.52,1.59K,-0.11%
09/09/2022,ICF,96.4,95.65,96.4,95.65,2.03K,0.00%
09/08/2022,ICF,96.4,96,96.49,95.3,3.77K,0.43%
09/07/2022,ICF,95.99,94.53,97.1,94.52,1.63K,-0.43%
09/06/2022,ICF,96.4,95.1,96.4,94.01,1.45K,0.21%
09/05/2022,ICF,96.2,93.5,96.3,93.5,1.72K,2.89%
