Date,Valeur,Price,Open,High,Low,Vol.,Change %
09/15/2022,STPIL,13.3,13.3,13.3,13.3,0.02K,-0.60%
09/14/2022,STPIL,13.38,13.38,13.38,13.38,0.01K,-0.07%
09/13/2022,STPIL,13.39,13.39,13.39,13.39,0.11K,-0.15%
09/12/2022,STPIL,13.41,13.4,13.41,13.4,0.99K,0.22%
09/09/2022,STPIL,13.38,13.39,13.4,13.1,0.12K,-0.15%
09/08/2022,STPIL,13.4,13.4,13.4,13.4,0.02K,0.00%
09/07/2022,STPIL,13.4,13.38,13.4,13.38,0.03K,0.07%
09/06/2022,STPIL,13.39,13.39,13.4,13,0.34K,0.00%
09/05/2022,STPIL,13.39,12.99,13.39,12.99,1.12K,3.08%
09/02/2022,STPIL,12.99,12.99,12.99,12.99,0.25K,0.00%
09/01/2022,STPIL,12.99,12.99,12.99,12.9,0.11K,0.00%
08/31/2022,STPIL,12.99,12.75,12.99,12.75,5.99K,1.48%
08/30/2022,STPIL,12.8,12.75,12.8,12.75,0.24K,0.39%
08/29/2022,STPIL,12.75,12.75,12.75,12.7,0.08K,0.00%
08/26/2022,STPIL,12.75,12.7,12.75,12.7,0.81K,0.00%
08/25/2022,STPIL,12.75,12.75,12.75,12.7,0.13K,0.00%
08/24/2022,STPIL,12.75,12.8,12.8,12.7,0.30K,-0.39%
08/23/2022,STPIL,12.8,12.8,12.8,12.8,0.01K,0.00%
08/22/2022,STPIL,12.8,12.8,12.8,12.8,0.16K,0.00%
08/19/2022,STPIL,12.8,12.7,12.8,12.7,0.18K,0.00%
08/18/2022,STPIL,12.8,12.8,12.8,12.8,0.01K,0.79%
08/17/2022,STPIL,12.7,12.7,12.7,12.7,0.13K,0.40%
08/16/2022,STPIL,12.65,12.65,12.65,12.65,0.36K,0.40%
08/15/2022,STPIL,12.6,12.7,12.7,12.6,0.16K,-0.79%
08/12/2022,STPIL,12.7,12.7,12.7,12.6,0.02K,0.00%
08/11/2022,STPIL,12.7,12.7,12.7,12.7,0.02K,-0.78%
08/10/2022,STPIL,12.8,12.8,12.8,12.8,0.27K,0.00%
08/09/2022,STPIL,12.8,12.8,12.8,12.8,0.01K,1.19%
08/05/2022,STPIL,12.65,12.55,12.65,12.55,0.01K,1.04%
08/03/2022,STPIL,12.52,12.53,12.53,12.52,11.57K,-1.42%
08/01/2022,STPIL,12.7,12.7,12.7,12.68,5.89K,1.52%
07/29/2022,STPIL,12.51,12.52,12.52,12.51,0.67K,0.08%
07/28/2022,STPIL,12.5,12.5,12.5,12.5,0.63K,2.46%
07/26/2022,STPIL,12.2,12.2,12.5,12.2,3.04K,-0.41%
07/22/2022,STPIL,12.25,12.33,12.33,12.25,0.40K,0.00%
07/21/2022,STPIL,12.25,12.25,12.25,12.25,0.66K,-2.00%
07/20/2022,STPIL,12.5,12.25,12.5,12.25,0.25K,0.00%
07/19/2022,STPIL,12.5,12.69,12.69,12.5,0.61K,-1.50%
07/18/2022,STPIL,12.69,12.9,12.9,12.69,0.04K,0.00%
07/15/2022,STPIL,12.69,12.69,12.69,12.69,0.04K,-6.35%
07/14/2022,STPIL,13.55,13.5,13.55,13.5,1.08K,0.37%
07/13/2022,STPIL,13.5,13.5,13.5,13.5,0.35K,-0.37%
07/12/2022,STPIL,13.55,13.55,13.55,13.55,6.00K,0.00%
07/11/2022,STPIL,13.55,13.55,13.55,13.55,3.11K,1.88%
07/08/2022,STPIL,13.3,13.25,13.3,13.25,0.02K,0.45%
07/07/2022,STPIL,13.24,13.3,13.3,13.24,0.98K,-0.45%
07/06/2022,STPIL,13.3,13.55,13.55,13.3,2.65K,0.00%
07/05/2022,STPIL,13.3,13.55,13.55,13.3,0.33K,-1.85%
07/01/2022,STPIL,13.55,13.55,13.55,13.55,0.37K,0.00%
06/29/2022,STPIL,13.55,13.28,13.55,13.28,1.06K,2.03%
06/28/2022,STPIL,13.28,13.3,13.3,13.28,0.31K,0.00%
06/27/2022,STPIL,13.28,13.28,13.28,13.28,0.03K,-1.99%
06/22/2022,STPIL,13.55,13.55,13.55,13.55,0.04K,-0.29%
06/16/2022,STPIL,13.59,13.28,13.59,13.28,0.73K,0.07%
06/15/2022,STPIL,13.58,13.6,13.6,13.27,0.21K,2.49%
06/13/2022,STPIL,13.25,13.3,13.3,13.25,1.34K,-0.38%
06/10/2022,STPIL,13.3,13.3,13.3,13.3,0.01K,-1.48%
06/09/2022,STPIL,13.5,13.6,13.6,13.25,1.72K,-0.74%
06/08/2022,STPIL,13.6,13.6,13.6,13.6,0.09K,0.00%
06/06/2022,STPIL,13.6,13.61,13.61,13.6,0.08K,0.00%
06/03/2022,STPIL,13.6,13.6,13.6,13.6,0.10K,0.00%
06/02/2022,STPIL,13.6,13.61,13.61,13.5,1.42K,-0.73%
05/31/2022,STPIL,13.7,13.7,13.7,13.6,0.23K,0.00%
05/30/2022,STPIL,13.7,13.7,13.7,13.7,0.02K,0.00%
05/27/2022,STPIL,13.7,13.7,13.7,13.7,0.13K,0.74%
05/25/2022,STPIL,13.6,13.6,13.6,13.6,2.47K,0.00%
05/24/2022,STPIL,13.6,13.7,13.7,13.6,0.11K,-0.73%
05/20/2022,STPIL,13.7,13.53,13.7,13.53,0.11K,0.00%
05/19/2022,STPIL,13.7,13.7,13.7,13.7,0.17K,0.00%
05/17/2022,STPIL,13.7,14,14,13.7,0.76K,1.41%
05/16/2022,STPIL,13.51,13.5,13.7,13.5,0.89K,-1.39%
05/13/2022,STPIL,13.7,14,14,13.7,0.29K,-2.14%
05/11/2022,STPIL,14,14,14,14,0.00K,0.43%
05/10/2022,STPIL,13.94,13.94,13.94,13.94,0.02K,-0.07%
05/09/2022,STPIL,13.95,14,14,13.95,0.05K,-3.46%
05/06/2022,STPIL,14.45,14.45,14.45,14.45,0.07K,-0.34%
05/05/2022,STPIL,14.5,14.49,14.5,14.49,0.15K,0.07%
05/04/2022,STPIL,14.49,14.01,14.49,14.01,0.51K,-0.21%
04/29/2022,STPIL,14.52,14.5,14.52,14.5,0.65K,0.00%
