Date,Valeur,Price,Open,High,Low,Vol.,Change %
12/27/2022,UMED,7.15,6.8,7.15,6.8,5.21K,3.62%
12/26/2022,UMED,6.9,6.82,6.9,6.81,1.79K,-1.29%
12/23/2022,UMED,6.99,6.99,6.99,6.89,0.08K,0.00%
12/22/2022,UMED,6.99,7,7,6.99,2.01K,-0.14%
12/21/2022,UMED,7,7,7,6.99,0.74K,-1.41%
12/20/2022,UMED,7.1,7.15,7.15,7,2.70K,-0.42%
12/19/2022,UMED,7.13,7.05,7.13,6.9,7.45K,0.42%
12/16/2022,UMED,7.1,7.1,7.1,7.02,1.37K,0.00%
12/15/2022,UMED,7.1,7.1,7.1,7.1,3.37K,0.00%
12/14/2022,UMED,7.1,7.15,7.15,7.1,4.66K,-1.80%
12/13/2022,UMED,7.23,7.24,7.24,7.23,0.41K,-0.28%
12/12/2022,UMED,7.25,7.24,7.25,7.15,0.70K,0.14%
12/09/2022,UMED,7.24,7.15,7.25,7.15,2.47K,-0.14%
12/08/2022,UMED,7.25,7.25,7.25,7.25,0.00K,0.69%
12/07/2022,UMED,7.2,7.21,7.21,7.2,0.21K,-0.69%
12/06/2022,UMED,7.25,7.25,7.25,7.25,2.03K,-0.68%
12/05/2022,UMED,7.3,7.4,7.4,7.25,5.44K,-1.35%
12/02/2022,UMED,7.4,7.5,7.5,7.4,0.01K,0.00%
12/01/2022,UMED,7.4,7.5,7.5,7.26,1.36K,0.00%
11/30/2022,UMED,7.4,7.3,7.5,7.29,6.91K,3.35%
11/29/2022,UMED,7.16,7.29,7.3,7.16,3.85K,-1.92%
11/28/2022,UMED,7.3,7.3,7.3,7.2,0.51K,0.14%
11/25/2022,UMED,7.29,7.29,7.29,7.16,0.16K,1.25%
11/24/2022,UMED,7.2,7.2,7.24,7.16,4.47K,0.00%
11/23/2022,UMED,7.2,7.2,7.2,7.2,0.01K,-1.37%
11/22/2022,UMED,7.3,7.3,7.3,7.3,0.00K,0.27%
11/21/2022,UMED,7.28,7.29,7.29,7.11,48.15K,-0.14%
11/18/2022,UMED,7.29,7.3,7.3,7.2,6.19K,-0.14%
11/17/2022,UMED,7.3,7.2,7.3,7.17,0.44K,1.39%
11/16/2022,UMED,7.2,7.2,7.2,7.2,0.64K,0.00%
11/15/2022,UMED,7.2,7.35,7.35,7.18,6.94K,-1.91%
11/11/2022,UMED,7.34,7.25,7.34,7.25,0.26K,-0.14%
11/10/2022,UMED,7.35,7.3,7.35,7.24,1.41K,-0.68%
11/09/2022,UMED,7.4,7.4,7.4,7.4,0.25K,0.41%
11/08/2022,UMED,7.37,7.49,7.49,7.37,0.00K,0.27%
11/07/2022,UMED,7.35,7.22,7.35,7.2,3.30K,0.00%
11/04/2022,UMED,7.35,7.35,7.35,7.35,0.07K,2.08%
11/03/2022,UMED,7.2,7.2,7.3,7.2,5.37K,-1.37%
11/02/2022,UMED,7.3,7.4,7.4,7.2,7.10K,-1.35%
11/01/2022,UMED,7.4,7.27,7.45,7.27,0.63K,0.41%
10/31/2022,UMED,7.37,7.45,7.49,7.3,7.50K,-0.94%
10/28/2022,UMED,7.44,7.4,7.44,7.4,1.12K,0.54%
10/27/2022,UMED,7.4,7.4,7.4,7.32,3.30K,0.00%
10/26/2022,UMED,7.4,7.3,7.4,7.3,0.56K,0.00%
10/25/2022,UMED,7.4,7.4,7.49,7.3,0.96K,-1.20%
10/24/2022,UMED,7.49,7.58,7.58,7.49,0.05K,1.22%
10/21/2022,UMED,7.4,7.5,7.5,7.35,0.90K,1.37%
10/20/2022,UMED,7.3,7.35,7.35,7.3,3.37K,-0.68%
10/19/2022,UMED,7.35,7.36,7.48,7.33,3.93K,-0.14%
10/18/2022,UMED,7.36,7.55,7.55,7.36,0.65K,-1.74%
10/17/2022,UMED,7.49,7.5,7.55,7.45,1.22K,-1.45%
10/14/2022,UMED,7.6,7.54,7.6,7.54,0.50K,0.66%
10/13/2022,UMED,7.55,7.45,7.55,7.41,0.35K,0.00%
10/12/2022,UMED,7.55,7.55,7.57,7.4,6.12K,2.03%
10/11/2022,UMED,7.4,7.55,7.56,7.4,3.06K,-0.27%
10/10/2022,UMED,7.42,7.52,7.55,7.4,2.24K,-1.59%
10/07/2022,UMED,7.54,7.55,7.55,7.45,2.20K,1.21%
10/06/2022,UMED,7.45,7.5,7.55,7.45,1.24K,-1.32%
10/05/2022,UMED,7.55,7.6,7.6,7.44,2.37K,-0.66%
10/04/2022,UMED,7.6,7.6,7.6,7.44,1.47K,1.88%
10/03/2022,UMED,7.46,7.59,7.59,7.46,0.11K,-1.71%
09/30/2022,UMED,7.59,7.4,7.59,7.4,0.17K,1.20%
09/29/2022,UMED,7.5,7.65,7.67,7.5,9.65K,-2.22%
09/28/2022,UMED,7.67,7.68,7.68,7.3,3.18K,0.92%
09/27/2022,UMED,7.6,7.6,7.69,7.51,1.43K,-1.30%
09/26/2022,UMED,7.7,7.7,7.76,7.6,5.46K,0.00%
09/23/2022,UMED,7.7,7.7,7.75,7.7,6.29K,0.00%
09/22/2022,UMED,7.7,7.55,7.7,7.55,0.20K,-0.65%
09/21/2022,UMED,7.75,7.5,7.75,7.5,4.24K,0.39%
09/20/2022,UMED,7.72,7.35,7.72,7.35,2.89K,5.03%
09/19/2022,UMED,7.35,7.42,7.42,7.34,3.00K,-0.68%
09/16/2022,UMED,7.4,7.41,7.41,7.34,0.93K,-0.13%
09/15/2022,UMED,7.41,7.41,7.44,7.34,2.45K,-0.54%
09/14/2022,UMED,7.45,7.55,7.55,7.35,18.71K,-4.24%
09/13/2022,UMED,7.78,7.78,7.8,7.65,1.11K,0.78%
09/12/2022,UMED,7.72,7.75,7.75,7.5,9.44K,-0.90%
09/09/2022,UMED,7.79,7.8,7.85,7.67,7.55K,0.52%
09/08/2022,UMED,7.75,7.89,7.9,7.7,9.37K,-1.65%
09/07/2022,UMED,7.88,7.88,7.88,7.76,1.15K,0.90%
09/06/2022,UMED,7.81,7.88,7.92,7.8,2.83K,-1.76%
09/05/2022,UMED,7.95,7.96,7.96,7.81,0.12K,0.63%
09/02/2022,UMED,7.9,7.8,8,7.8,7.30K,1.28%
09/01/2022,UMED,7.8,7.82,7.89,7.65,15.54K,-1.27%
08/31/2022,UMED,7.9,8.1,8.1,7.9,3.05K,-2.47%
08/30/2022,UMED,8.1,7.95,8.1,7.95,17.84K,1.89%
08/29/2022,UMED,7.95,7.95,7.97,7.88,13.68K,2.05%
08/26/2022,UMED,7.79,7.72,7.84,7.72,4.90K,1.17%
08/25/2022,UMED,7.7,7.55,7.7,7.49,14.93K,2.80%
08/24/2022,UMED,7.49,7.49,7.55,7.49,2.42K,0.54%
08/23/2022,UMED,7.45,7.54,7.54,7.45,2.05K,-1.19%
08/22/2022,UMED,7.54,7.55,7.55,7.5,3.05K,-0.13%
08/19/2022,UMED,7.55,7.45,7.55,7.45,1.29K,2.03%
08/18/2022,UMED,7.4,7.45,7.45,7.35,0.63K,0.14%
